"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"204639_at",6.52831304894531,5.9926253366617,6.61340569002832,7.04331654129018,6.94626399194456,6.6679907659833,6.23941126661005,6.76428740956125,7.10861313357706,7.2348311239532,6.05174065651593,6.04267941021789,5.94320867068092,6.35036186692816,6.1057834624033,6.0578626776986,6.32095096609391,6.10644640135707,7.15267130821241,5.76814516329277,6.07083759630005,6.40193808281686,6.77694381009968,6.18876777800698,5.95851293992365,6.26970782571268,6.19837814135057,6.85343771032682,6.76674120975192,6.61487838494874
"212607_at",6.99135100532307,6.95050212126694,7.32411657133852,7.15525232172535,7.29839274661828,6.93545207167882,6.71080483855122,6.99907050429592,7.10271887735568,7.42719137885619,6.56863689608744,6.90421941987312,6.5890632328413,6.20253216739065,5.72651236272748,6.79428999355008,6.2884335617023,5.91328340749394,6.34951643760611,6.20074050096331,5.3606314382139,5.58451837576156,5.8686648286911,6.14731061947094,6.11082936017331,5.63917520483178,6.1751066371454,5.99388904605682,6.40811913828448,6.77964422537537
"222161_at",3.91379775621183,3.74311424553594,3.8212965246571,4.089769076684,4.02718593916946,3.87788781659841,4.17347577998814,3.76955374384106,4.03354902342693,3.79417773705944,3.52751225967773,3.5455532047548,3.13797509615333,3.02229908121072,3.15139719790858,3.89638257891489,3.31448058975742,3.55955617497169,3.61326730871659,2.81650412937505,2.86507741657781,3.17074494041408,3.49990031628625,3.08354843874801,3.71111975240702,3.27348246651212,2.95272007390858,3.51052996274005,3.60286797275857,2.86797009802296
"228647_at",6.70520390418623,6.71143302748826,6.58277953607253,6.35280536140827,6.54220501772163,6.52363655043241,6.40516237368253,6.2500273239023,7.01782242670833,7.22850477188103,6.80971996329754,6.8839962227855,5.7345957181045,6.19247162725425,6.38504319199031,6.44053116537365,5.68977359728056,5.52725531076586,6.70025336939128,4.87560580363459,5.00140625192433,6.58831399679447,6.58367829106901,6.01163037617423,6.61776826346778,6.07025174783563,4.97830021309795,6.07757467879793,6.3833714363962,5.65739054683009
"209028_s_at",8.26704194076674,8.41443904605172,8.10875807190884,8.45062687379952,8.26038083897256,8.39304904662632,8.69237704552051,8.33078071166626,8.16907440917963,8.31095462324711,8.14743182538032,7.79519756564077,7.40389659093573,7.65950941240957,8.10537581513378,7.75906762709654,7.54101160934883,7.74419113758444,7.68490081990795,7.26249793618476,7.57249421194759,7.75230471044804,7.62361552505552,7.48229609218206,7.94903238050169,7.67481826027288,7.20521846114875,7.42474348589651,7.28053321387067,7.86880292252925
"227647_at",6.10085462420911,5.35801719759618,5.94331303712606,6.36666681115955,6.66360203671168,6.08620598844983,5.67908528280768,5.94776845157943,6.49101696448041,6.63654278898932,5.17023646238917,5.09152531549601,6.03646288440476,5.38771042258121,5.16110140754297,5.949949697876,5.15497316232085,4.7071254155573,5.16434509477435,4.30765281955583,4.20556116610705,3.98023393794494,4.19698536824674,4.59686786163569,4.74483888792378,4.94337290498987,3.90848653661052,5.29277773251294,5.49468095175349,4.59070451340745
"203256_at",7.44870661002219,7.68983187575231,7.7942532553036,7.6753188651656,7.09943006195982,6.96888123065563,7.50703620189576,6.6396633852117,6.73489641080898,6.94105922095295,8.2393489514706,8.34523343280128,7.86186043182829,7.43375599196796,7.75908809256511,7.33189829947206,7.79041423920291,8.22765496887102,7.38577979391528,10.3310371736567,10.4470536280748,8.34760147296535,7.80053394457791,8.09442617819726,7.61526829754568,7.42998579807476,9.3870570444491,7.90736042997049,8.25555455037962,8.9959713727852
"209451_at",7.83306593550798,7.92209610167693,7.8292337442951,8.21598378764756,7.75621723875107,8.0712117118649,8.13923519992468,8.10277968262917,8.13284669308106,7.94467365486242,7.74364229422118,7.06394686900722,7.09613837656311,7.17966378562019,7.35494757696003,7.50194265400671,7.38354432143313,7.41201561522612,7.17803991082056,7.11562223767543,7.00859649894224,7.59032851256404,7.36786091683481,7.15727826312755,7.25736063667576,6.92282840326246,5.92350397766276,6.46480962200415,6.57459099203812,7.41778367182961
"235798_at",4.72480371663072,4.77362775771989,5.06202932805722,5.35728574088621,5.46587653808809,5.67188146391879,5.38857785185974,5.55040966925871,5.64148584652496,4.86545089599795,4.38494847853354,4.0209686474755,3.87888672898006,4.23544154256298,4.0067792131663,4.19303262332669,3.99955280416561,4.15072385044942,4.25625176532985,3.44747468543572,3.49949698307105,3.80366997444542,3.84428818841668,4.14202851231763,4.58012199359657,3.6865023202074,3.81559347001391,4.24757337802156,3.90777527646646,3.74166537543854
"239153_at",5.88791687980398,6.3178965888149,4.81663319671137,5.094377814636,4.74710986724469,5.05273489525234,5.2919503767003,5.36128467174801,5.60778133159217,6.39106230241865,5.48099565783121,5.56663020671242,4.74306478045047,4.74432178012482,4.65385791684026,4.4422886157916,5.45606017001349,4.84687571156051,5.242667587892,3.26826243650593,3.49949698307105,5.6702456618745,5.97328165983493,4.73725331794518,6.04590705198032,5.74852602297284,4.07436452577537,5.284372675645,6.25340981278435,4.05879446982716
